Filename,NDW.eng
ER2_FGTD_C00209_P2Y4W2,103
ER2_FGTD_C00226_P2Y4W2,119
ER2_FGTD_C00231_P2Y4W2,131
ER2_FGTD_C00235_P2Y4W2,110
ER2_FGTD_C00237_P2Y4W2,128
ER2_FGTD_C00275_P2Y4W2,137
ER2_FGTD_C00372_P2Y4W2,147
ER2_FGTD_C00375_P2Y4W2,154
ER2_FGTD_C00376_P2Y4W2,128
ER2_FGTD_C00379_P2Y4W2,90
ER2_FGTD_C00384_P2Y4W2,104
ER2_FGTD_C00388_P2Y4W2,117
ER2_FGTD_C00392_P2Y4W2,104
ER2_FGTD_C00393_P2Y4W2,132
ER2_FGTD_C00401_P2Y4W2,145
ER2_FGTD_C00409_P2Y4W2,132
ER2_FGTD_C00423_P2Y4W2,105
ER2_FGTD_C00433_P2Y4W2,95
ER2_FGTD_C00439_P2Y4W2,91
ER2_FGTD_C00445_P2Y4W2,101
ER2_FGTD_C00466_P2Y4W2,121
ER2_FGTD_C00476_P2Y4W2,114
ER2_FGTD_C00503_P2Y4W2,112
ER2_FGTD_C00507_P2Y4W2,119
ER2_FGTD_C00523_P2Y4W2,74
ER2_FGTD_C00552_P2Y4W2,90
ER2_FGTD_C00564_P2Y4W2,93
ER2_FGTD_C00589_P2Y4W2,125
ER2_FGTD_C00598_P2Y4W2,141
ER2_FGTD_C00600_P2Y4W2,102
ER2_FGTD_C00605_P2Y4W2,116
ER2_FGTD_C00633_P2Y4W2,101
ER2_FGTD_C00642_P2Y4W2,125
ER2_FGTD_C00652_P2Y4W2,133
ER2_FGTD_C00657_P2Y4W2,113
ER2_FGTD_C00672_P2Y4W2,152
ER2_FGTD_C00683_P2Y4W2,100
ER2_FGTD_C00692_P2Y4W2,90
ER2_FGTD_C00741_P2Y4W2,109
ER2_FGTD_C00748_P2Y4W2,114
ER2_FGTD_C00753_P2Y4W2,111
ER2_FGTD_C00790_P2Y4W2,115
ER2_FGTD_C00793_P2Y4W2,96
ER2_FGTD_C00826_P2Y4W2,94
ER2_FGTD_C00828_P2Y4W2,113
ER2_FGTD_C00837_P2Y4W2,100
ER2_FGTD_C00853_P2Y4W2,93
ER2_FGTD_C00857_P2Y4W2,114
ER2_FGTD_C00919_P2Y4W2,87
ER2_FGTD_C00931_P2Y4W2,100
ER2_FGTD_C00973_P2Y4W2,115
ER2_FGTD_C00976_P2Y4W2,123
ER2_FGTD_C00992_P2Y4W2,145
ER2_FGTD_C00999_P2Y4W2,129
ER2_FGTD_C01003_P2Y4W2,132
ER2_FGTD_C01006_P2Y4W2,112
ER2_FGTD_C01018_P2Y4W2,121
ER2_FGTD_C01031_P2Y4W2,71
ER2_FGTD_C01053_P2Y4W2,72
ER2_FGTD_C01056_P2Y4W2,0
ER2_FGTD_C01078_P2Y4W2,104
ER2_FGTD_C01094_P2Y4W2,106
ER2_FGTD_C01103_P2Y4W2,128
ER2_FGTD_C01104_P2Y4W2,116
